index,year,accident,accident_url,infobox,Accident title,Date,Location,Coordinates,Cause,Deaths
27,1842,/wiki/Versailles_rail_accident,https://en.wikipedia.org//wiki/Versailles_rail_accident,"{'Date': '8 May 1842', 'Accident title': 'Versailles rail accident', 'Location': 'Meudon, Paris', 'Coordinates': '48°49′06″N 02°13′52″E\ufeff / \ufeff48.81833°N 2.23111°E\ufeff / 48.81833; 2.23111Coordinates: 48°49′06″N 02°13′52″E\ufeff / \ufeff48.81833°N 2.23111°E\ufeff / 48.81833; 2.23111', 'Country': 'France', 'Cause': 'Broken axle', 'Trains': '1', 'Deaths': '52–200', 'Injured': 'Hundreds'}",Versailles rail accident,8 May 1842,"Meudon, Paris", 48.81833; 2.23111,Broken axle,52–200
30,1845,/wiki/Penistone_rail_accidents,https://en.wikipedia.org//wiki/Penistone_rail_accidents,"{'Date': '16 July 1884', 'Accident title': 'Penistone rail accidents', 'Location': 'Bullhouse Bridge', 'Coordinates': '53°31′13″N 1°40′31″W\ufeff / \ufeff53.5203°N 1.6752°W\ufeff / 53.5203; -1.6752\ufeff (Bullhouse Bridge rail accident)', 'Country': 'England', 'Line': 'Manchester, Sheffield and Lincolnshire Railway', 'Cause': 'axle failure', 'Trains': '1', 'Deaths': '24'}",Penistone rail accidents,16 July 1884,Bullhouse Bridge, 53.5203; -1.6752﻿ (Bullhouse Bridge rail accident),axle failure,24
32,1847,/wiki/Dee_Bridge_disaster,https://en.wikipedia.org//wiki/Dee_Bridge_disaster,"{'Date': '24 May 1847 ~18:25', 'Accident title': 'Dee Bridge disaster', 'Location': 'Chester, Cheshire', 'Coordinates': '53°10′59″N 2°53′42″W\ufeff / \ufeff53.183°N 2.895°W\ufeff / 53.183; -2.895Coordinates: 53°10′59″N 2°53′42″W\ufeff / \ufeff53.183°N 2.895°W\ufeff / 53.183; -2.895', 'Country': 'England', 'Line': 'North Wales Coast Line and Shrewsbury–Chester line', 'Cause': 'Bridge fail', 'Trains': '1', 'Passengers': '22', 'Deaths': '5', 'Injured': '9'}",Dee Bridge disaster,24 May 1847 ~18:25,"Chester, Cheshire", 53.183; -2.895,Bridge fail,5
36,1851,/wiki/Sutton_Tunnel_railway_accident,https://en.wikipedia.org//wiki/Sutton_Tunnel_railway_accident,"{'Date': '30 April 1851 20:03', 'Accident title': 'Sutton Tunnel railway accident', 'Location': 'Frodsham, Cheshire', 'Country': 'England', 'Line': 'Chester to Manchester Line', 'Cause': 'Unprotected train (no signals)', 'Trains': '3', 'Passengers': '~1600', 'Deaths': '9', 'Injured': '30–40'}",Sutton Tunnel railway accident,30 April 1851 20:03,"Frodsham, Cheshire",,Unprotected train (no signals),9
38,1853,/wiki/1853_Providence_and_Worcester_head-on_collision,https://en.wikipedia.org//wiki/1853_Providence_and_Worcester_head-on_collision,"{'Date': 'August 12, 1853', 'Accident title': '1853 Providence and Worcester head-on collision', 'Location': 'Valley Falls, Rhode Island', 'Country': 'United States', 'Operator': 'Providence and Worcester Railroad', 'Incident type': 'collision', 'Cause': 'Human error', 'Trains': '2', 'Deaths': '14', 'Injured': '17'}",1853 Providence and Worcester head-on collision,"August 12, 1853","Valley Falls, Rhode Island",,Human error,14
38,1853,/wiki/1853_Straffan_rail_accident,https://en.wikipedia.org//wiki/1853_Straffan_rail_accident,not a train accident,,,,,,
38,1853,/wiki/Norwalk_rail_accident,https://en.wikipedia.org//wiki/Norwalk_rail_accident,"{'Date': 'May 6, 1853', 'Accident title': 'Norwalk rail accident', 'Location': 'Norwalk, Connecticut', 'Country': 'United States', 'Line': 'New York and New Haven Railroad', 'Incident type': 'Draw (swing) bridge open', 'Cause': 'Signal passed at danger', 'Trains': '1', 'Passengers': '200', 'Deaths': '48', 'Injured': '30'}",Norwalk rail accident,"May 6, 1853","Norwalk, Connecticut",,Signal passed at danger,48
38,1853,/wiki/Template:1853_railway_accidents,https://en.wikipedia.org//wiki/Template:1853_railway_accidents,not a train accident,,,,,,
39,1854,/wiki/Jeannette%27s_Creek_train_wreck,https://en.wikipedia.org//wiki/Jeannette%27s_Creek_train_wreck,"{'Date': 'October 27, 1854 5.00 am', 'Accident title': ""Jeannette's Creek train wreck"", 'Location': 'Chatham-Kent, Ontario', 'Country': 'Canada', 'Operator': 'Great Western Railway', 'Incident type': 'Rear-end collision', 'Trains': '2', 'Deaths': '52', 'Injured': '48'}",Jeannette's Creek train wreck,"October 27, 1854 5.00 am","Chatham-Kent, Ontario",,,52
40,1855,/wiki/Gasconade_Bridge_train_disaster,https://en.wikipedia.org//wiki/Gasconade_Bridge_train_disaster,"{'Date': '1 November 1855', 'Accident title': 'Gasconade Bridge train disaster', 'Location': 'Gasconade, Missouri', 'Country': 'United States', 'Line': 'Pacific Railroad', 'Cause': 'Disputed,Excessive speed. (official)Bridge design flaw. (New York Times)', 'Trains': '1', 'Passengers': 'at least 600', 'Deaths': '30+', 'Injured': 'Hundreds'}",Gasconade Bridge train disaster,1 November 1855,"Gasconade, Missouri",,"Disputed,Excessive speed. (official)Bridge design flaw. (New York Times)",30+
41,1856,/wiki/The_Camp_Hill_disaster,https://en.wikipedia.org//wiki/The_Camp_Hill_disaster,"{'Date': 'July 17, 1856', 'Accident title': 'Great Train Wreck of 1856', 'Location': 'Whitemarsh Township, Pennsylvania', 'Coordinates': '40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333Coordinates: 40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333', 'Country': 'United States', 'Operator': 'North Pennsylvania Railroad', 'Incident type': 'Head-on collision', 'Cause': 'Human error', 'Trains': '2: ""Shakamaxon"" and ""Aramingo""', 'Passengers': '""Shakamaxon"": 1,100-1,500; ""Aramingo"": 20', 'Deaths': 'Approx 60', 'Injured': 'Over 100'}",Great Train Wreck of 1856,"July 17, 1856","Whitemarsh Township, Pennsylvania", 40.1287944; -75.2029333,Human error,Approx 60
41,1856,/wiki/Great_Train_Wreck_of_1856,https://en.wikipedia.org//wiki/Great_Train_Wreck_of_1856,"{'Date': 'July 17, 1856', 'Accident title': 'Great Train Wreck of 1856', 'Location': 'Whitemarsh Township, Pennsylvania', 'Coordinates': '40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333Coordinates: 40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333', 'Country': 'United States', 'Operator': 'North Pennsylvania Railroad', 'Incident type': 'Head-on collision', 'Cause': 'Human error', 'Trains': '2: ""Shakamaxon"" and ""Aramingo""', 'Passengers': '""Shakamaxon"": 1,100-1,500; ""Aramingo"": 20', 'Deaths': 'Approx 60', 'Injured': 'Over 100'}",Great Train Wreck of 1856,"July 17, 1856","Whitemarsh Township, Pennsylvania", 40.1287944; -75.2029333,Human error,Approx 60
41,1856,/wiki/The_Picnic_Train_Tragedy,https://en.wikipedia.org//wiki/The_Picnic_Train_Tragedy,"{'Date': 'July 17, 1856', 'Accident title': 'Great Train Wreck of 1856', 'Location': 'Whitemarsh Township, Pennsylvania', 'Coordinates': '40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333Coordinates: 40°07′43.66″N 75°12′10.56″W\ufeff / \ufeff40.1287944°N 75.2029333°W\ufeff / 40.1287944; -75.2029333', 'Country': 'United States', 'Operator': 'North Pennsylvania Railroad', 'Incident type': 'Head-on collision', 'Cause': 'Human error', 'Trains': '2: ""Shakamaxon"" and ""Aramingo""', 'Passengers': '""Shakamaxon"": 1,100-1,500; ""Aramingo"": 20', 'Deaths': 'Approx 60', 'Injured': 'Over 100'}",Great Train Wreck of 1856,"July 17, 1856","Whitemarsh Township, Pennsylvania", 40.1287944; -75.2029333,Human error,Approx 60
41,1856,/wiki/Schiedam_train_accident,https://en.wikipedia.org//wiki/Schiedam_train_accident,"{'Date': '4 May 1976 7.54 (CET)', 'Accident title': 'Schiedam train disaster', 'Location': 'Near Schiedam', 'Country': 'Netherlands', 'Line': 'Hoekse Lijn', 'Operator': 'Nederlandse Spoorwegen', 'Cause': 'Error by the chief conductorand the driver of Stoptrein 4116, lack of ATB', 'Trains': 'D215 Rhine Express boat trainStoptrein 4116', 'Deaths': '24[1]', 'Injured': 'several tens, 5 severe'}",Schiedam train disaster,4 May 1976 7.54 (CET),Near Schiedam,,"Error by the chief conductorand the driver of Stoptrein 4116, lack of ATB",24[1]
41,1856,/wiki/Template:1856_railway_accidents,https://en.wikipedia.org//wiki/Template:1856_railway_accidents,not a train accident,,,,,,
42,1857,/wiki/1857_Lewisham_rail_crash,https://en.wikipedia.org//wiki/1857_Lewisham_rail_crash,"{'Date': '28 June 1857 22:55', 'Accident title': '1857 Lewisham rail crash', 'Location': 'near Lewisham railway station', 'Coordinates': '51°27′54″N 0°00′35″W\ufeff / \ufeff51.465°N 0.0096°W\ufeff / 51.465; -0.0096Coordinates: 51°27′54″N 0°00′35″W\ufeff / \ufeff51.465°N 0.0096°W\ufeff / 51.465; -0.0096', 'Country': 'England', 'Line': 'North Kent Line', 'Operator': 'South Eastern Railway', 'Cause': 'Signal passed at danger', 'Trains': '2', 'Deaths': '11', 'Injured': '30'}",1857 Lewisham rail crash,28 June 1857 22:55,near Lewisham railway station, 51.465; -0.0096,Signal passed at danger,11
42,1857,/wiki/Desjardins_Canal_disaster,https://en.wikipedia.org//wiki/Desjardins_Canal_disaster,"{'Date': 'March\xa012,\xa01857\xa0(1857-03-12)', 'Accident title': 'Desjardins Canal disaster', 'Location': 'Hamilton, Canada West, British North America', 'Incident type': 'Train wreck', 'Cause': 'Bridge collapse', 'Trains': '1', 'Passengers': '90', 'Deaths': '59[1]', 'Injured': '18[2]'}",Desjardins Canal disaster,"March 12, 1857 (1857-03-12)","Hamilton, Canada West, British North America",,Bridge collapse,59[1]
43,1858,/wiki/Round_Oak_rail_accident,https://en.wikipedia.org//wiki/Round_Oak_rail_accident,"{'Date': '23 August 1858', 'Accident title': 'Round Oak rail accident', 'Location': 'Round Oak, near Dudley', 'Coordinates': '52°28′59″N 2°07′39″W\ufeff / \ufeff52.4830°N 2.1276°W\ufeff / 52.4830; -2.1276Coordinates: 52°28′59″N 2°07′39″W\ufeff / \ufeff52.4830°N 2.1276°W\ufeff / 52.4830; -2.1276', 'Country': 'England', 'Line': 'Oxford-Worcester-Wolverhampton Line', 'Cause': 'Train divided', 'Trains': '1', 'Passengers': '450', 'Deaths': '14', 'Injured': '50'}",Round Oak rail accident,23 August 1858,"Round Oak, near Dudley", 52.4830; -2.1276,Train divided,14
44,1859,/wiki/South_Bend_train_wreck,https://en.wikipedia.org//wiki/South_Bend_train_wreck,"{'Date': 'June 27, 1859 Just before midnight', 'Accident title': 'South Bend train wreck', 'Location': 'between Mishawaka and South Bend, Indiana', 'Country': 'United States', 'Operator': 'Michigan Southern Railroad', 'Incident type': 'Embankment washed away', 'Cause': 'Blocked culvert', 'Trains': '1', 'Passengers': '150', 'Deaths': '42', 'Injured': '50'}",South Bend train wreck,"June 27, 1859 Just before midnight","between Mishawaka and South Bend, Indiana",,Blocked culvert,42
45,1860,/wiki/Atherstone_rail_accident,https://en.wikipedia.org//wiki/Atherstone_rail_accident,"{'Date': '16 November 1860 02:05', 'Accident title': 'Atherstone rail accident', 'Location': 'Atherstone railway station', 'Coordinates': '52°34′26″N 1°32′49″W\ufeff / \ufeff52.574°N 1.547°W\ufeff / 52.574; -1.547Coordinates: 52°34′26″N 1°32′49″W\ufeff / \ufeff52.574°N 1.547°W\ufeff / 52.574; -1.547', 'Country': 'England', 'Line': 'Trent Valley Line', 'Cause': 'Signal passed at danger', 'Trains': '2', 'Deaths': '10', 'Injured': '13'}",Atherstone rail accident,16 November 1860 02:05,Atherstone railway station, 52.574; -1.547,Signal passed at danger,10
45,1860,/wiki/Bull_bridge_accident,https://en.wikipedia.org//wiki/Bull_bridge_accident,No infobox,,,,,,
45,1860,/wiki/Helmshore_rail_accident,https://en.wikipedia.org//wiki/Helmshore_rail_accident,not a train accident,,,,,,
46,1861,/wiki/Clayton_Tunnel_rail_crash,https://en.wikipedia.org//wiki/Clayton_Tunnel_rail_crash,"{'Date': '25 August 1861 ~08:45', 'Accident title': 'Clayton Tunnel rail crash', 'Location': 'Clayton, West Sussex', 'Coordinates': '50°54′46″N 0°09′14″W\ufeff / \ufeff50.91278°N 0.15389°W\ufeff / 50.91278; -0.15389Coordinates: 50°54′46″N 0°09′14″W\ufeff / \ufeff50.91278°N 0.15389°W\ufeff / 50.91278; -0.15389', 'Country': 'England', 'Line': 'Brighton Main Line', 'Operator': 'London Brighton and South Coast Railway', 'Cause': ""Signaller's error"", 'Trains': '2', 'Passengers': '589', 'Deaths': '23', 'Injured': '176'}",Clayton Tunnel rail crash,25 August 1861 ~08:45,"Clayton, West Sussex", 50.91278; -0.15389,Signaller's error,23
46,1861,/wiki/Kentish_Town_rail_accident,https://en.wikipedia.org//wiki/Kentish_Town_rail_accident,"{'Date': '2 September 1861', 'Accident title': 'Kentish Town rail accident', 'Location': 'Kentish Town station', 'Country': 'England', 'Line': 'Hampstead Junction Railway', 'Cause': 'Signalling error', 'Trains': '2', 'Deaths': '16', 'Injured': '317 (20 seriously)'}",Kentish Town rail accident,2 September 1861,Kentish Town station,,Signalling error,16
46,1861,/wiki/Platte_Bridge_Railroad_Tragedy,https://en.wikipedia.org//wiki/Platte_Bridge_Railroad_Tragedy,No infobox,,,,,,
46,1861,/wiki/Wootton_bridge_collapse,https://en.wikipedia.org//wiki/Wootton_bridge_collapse,not a train accident,,,,,,
46,1861,/wiki/Template:1861_railway_accidents,https://en.wikipedia.org//wiki/Template:1861_railway_accidents,not a train accident,,,,,,
47,1862,/wiki/Winchburgh_rail_crash,https://en.wikipedia.org//wiki/Winchburgh_rail_crash,"{'Date': '13 October 1862 18:30', 'Accident title': 'Winchburgh rail crash', 'Location': 'Winchburgh, Linlithgowshire', 'Coordinates': '55°58′26″N 3°29′32″W\ufeff / \ufeff55.97389°N 3.49222°W\ufeff / 55.97389; -3.49222Coordinates: 55°58′26″N 3°29′32″W\ufeff / \ufeff55.97389°N 3.49222°W\ufeff / 55.97389; -3.49222', 'Country': 'Scotland', 'Line': 'Edinburgh and Glasgow Railway', 'Cause': 'Points maintenance error', 'Trains': '2', 'Deaths': '15', 'Injured': '35'}",Winchburgh rail crash,13 October 1862 18:30,"Winchburgh, Linlithgowshire", 55.97389; -3.49222,Points maintenance error,15
48,1863,/wiki/Chunky_Creek_train_wreck,https://en.wikipedia.org//wiki/Chunky_Creek_train_wreck,"{'Date': 'February 19, 1863 About Daybreak (c. 6:00 a.m.)', 'Accident title': 'Chunky Creek train wreck', 'Location': 'Newton County, near Hickory, Mississippi', 'Coordinates': '32°19′08″N 88°58′20″W\ufeff / \ufeff32.31889°N 88.97222°W\ufeff / 32.31889; -88.97222Coordinates: 32°19′08″N 88°58′20″W\ufeff / \ufeff32.31889°N 88.97222°W\ufeff / 32.31889; -88.97222', 'Country': 'United States', 'Line': 'Southern Rail Road Company', 'Operator': 'Isaiah P. Beauchamp', 'Incident type': 'Derailment', 'Cause': 'Signal Passed at Danger, Bridge Failure Leading to Derailment; Misjudgment, Fatigue, & Miscommunication', 'Trains': '1', 'Passengers': 'c. 100', 'Deaths': 'c. 75', 'Injured': 'c. 25'}",Chunky Creek train wreck,"February 19, 1863 About Daybreak (c. 6:00 a.m.)","Newton County, near Hickory, Mississippi", 32.31889; -88.97222,"Signal Passed at Danger, Bridge Failure Leading to Derailment; Misjudgment, Fatigue, & Miscommunication",c. 75
49,1864,/wiki/Shohola_train_wreck,https://en.wikipedia.org//wiki/Shohola_train_wreck,"{'Date': 'July 15, 1864', 'Accident title': 'Shohola train wreck', 'Location': 'Shohola Township, Pike County, Pennsylvania, USA', 'Country': 'United States', 'Operator': 'Erie Railroad', 'Incident type': 'Head-on collision', 'Cause': 'dispatcher error', 'Trains': '2', 'Passengers': '958', 'Deaths': '60–72'}",Shohola train wreck,"July 15, 1864","Shohola Township, Pike County, Pennsylvania, USA",,dispatcher error,60–72
49,1864,/wiki/St-Hilaire_train_disaster,https://en.wikipedia.org//wiki/St-Hilaire_train_disaster,"{'Date': 'June\xa029, 1864; 157 years ago\xa0(1864-06-29) 1:20\xa0a.m.', 'Accident title': 'St-Hilaire train disaster', 'Location': 'Otterburn Park, near Mont-Saint-Hilaire, Quebec', 'Country': 'Canada', 'Line': 'Grand Trunk Railway', 'Incident type': 'Swing bridge open', 'Cause': 'Signal passed at danger', 'Passengers': '354–475', 'Deaths': '99', 'Injured': '100'}",St-Hilaire train disaster,"June 29, 1864; 157 years ago (1864-06-29) 1:20 a.m.","Otterburn Park, near Mont-Saint-Hilaire, Quebec",,Signal passed at danger,99
50,1865,/wiki/Rednal_rail_crash,https://en.wikipedia.org//wiki/Rednal_rail_crash,"{'Date': '7 June 1865', 'Accident title': 'Rednal rail crash', 'Location': 'Rednal station, Shropshire', 'Country': 'England', 'Line': 'Shrewsbury to Chester Line', 'Cause': 'Derailment due to excessive speed', 'Trains': '1', 'Deaths': '13', 'Injured': '30'}",Rednal rail crash,7 June 1865,"Rednal station, Shropshire",,Derailment due to excessive speed,13
50,1865,/wiki/Staplehurst_rail_crash,https://en.wikipedia.org//wiki/Staplehurst_rail_crash,"{'Date': '9 June 1865 3:13 pm', 'Accident title': 'Staplehurst rail crash', 'Location': 'Staplehurst, Kent', 'Country': 'England', 'Line': 'South Eastern Main Line', 'Operator': 'South Eastern Railway', 'Cause': 'Engineering possession error', 'Trains': '1', 'Deaths': '10', 'Injured': '40'}",Staplehurst rail crash,9 June 1865 3:13 pm,"Staplehurst, Kent",,Engineering possession error,10
51,1866,/wiki/Welwyn_Tunnel_rail_crash,https://en.wikipedia.org//wiki/Welwyn_Tunnel_rail_crash,"{'Date': '9 June 1866 23:36', 'Accident title': 'Welwyn Tunnel rail crash', 'Location': 'Welwyn, Hertfordshire', 'Coordinates': '51°50′10″N 0°11′10″W\ufeff / \ufeff51.836°N 0.186°W\ufeff / 51.836; -0.186Coordinates: 51°50′10″N 0°11′10″W\ufeff / \ufeff51.836°N 0.186°W\ufeff / 51.836; -0.186', 'Country': 'England', 'Line': 'East Coast Main Line', 'Incident type': 'Collision', 'Cause': 'Guard failed to protect the train', 'Trains': '3', 'Deaths': '2', 'Injured': '2'}",Welwyn Tunnel rail crash,9 June 1866 23:36,"Welwyn, Hertfordshire", 51.836; -0.186,Guard failed to protect the train,2
52,1867,/wiki/Angola_Horror,https://en.wikipedia.org//wiki/Angola_Horror,"{'Date': 'December 18, 1867 3:11\xa0pm', 'Accident title': 'Angola Horror', 'Location': 'Angola, New York, U.S.', 'Country': 'United States', 'Line': 'Lake Shore Railway', 'Operator': 'Cleveland, Painesville and Ashtabula Railroad', 'Incident type': 'Derailment', 'Cause': 'Poor track condition', 'Trains': '1', 'Deaths': '49'}",Angola Horror,"December 18, 1867 3:11 pm","Angola, New York, U.S.",,Poor track condition,49
52,1867,/wiki/Warrington_rail_crash,https://en.wikipedia.org//wiki/Warrington_rail_crash,"{'Date': '29 June 1867 11:35', 'Accident title': 'Warrington rail crash', 'Location': 'Walton Junction, near Warrington Bank Quay railway station', 'Coordinates': '53°21′41″N 2°37′31″W\ufeff / \ufeff53.3615°N 2.6253°W\ufeff / 53.3615; -2.6253Coordinates: 53°21′41″N 2°37′31″W\ufeff / \ufeff53.3615°N 2.6253°W\ufeff / 53.3615; -2.6253', 'Country': 'England', 'Line': 'London and North Western Railway', 'Cause': 'Points incorrectly set', 'Trains': '2', 'Passengers': '300', 'Deaths': '8', 'Injured': '33'}",Warrington rail crash,29 June 1867 11:35,"Walton Junction, near Warrington Bank Quay railway station", 53.3615; -2.6253,Points incorrectly set,8
53,1868,/wiki/Abergele_rail_disaster,https://en.wikipedia.org//wiki/Abergele_rail_disaster,"{'Date': '20 August 1868', 'Accident title': 'Abergele rail disaster', 'Location': 'Abergele, Conwy.', 'Country': 'Wales', 'Line': 'North Wales Coast Line', 'Cause': 'Runaway goods wagons', 'Trains': '2', 'Deaths': '33'}",Abergele rail disaster,20 August 1868,"Abergele, Conwy.",,Runaway goods wagons,33
54,1869,/wiki/Dalton_Junction_rail_crash,https://en.wikipedia.org//wiki/Dalton_Junction_rail_crash,"{'Date': '28\xa0December\xa01869\xa0(1869-12-28)', 'Accident title': 'Dalton Junction rail crash', 'Location': 'Dalton-on-Tees, North Yorkshire, England354\xa0km (220\xa0mi) N from London, England', 'Coordinates': '54°27′43″N 1°32′53″W\ufeff / \ufeff54.462°N 1.548°W\ufeff / 54.462; -1.548Coordinates: 54°27′43″N 1°32′53″W\ufeff / \ufeff54.462°N 1.548°W\ufeff / 54.462; -1.548', 'Country': 'United Kingdom', 'Line': 'North Eastern Railway', 'Service': 'Mail train', 'Incident type': 'Train derailment', 'Cause': 'Fractured axel', 'Trains': '1 with 11 cars', 'Injured': '1'}",Dalton Junction rail crash,28 December 1869 (1869-12-28),"Dalton-on-Tees, North Yorkshire, England354 km (220 mi) N from London, England", 54.462; -1.548,Fractured axel,
55,1870,/wiki/1870_Hatfield_rail_crash,https://en.wikipedia.org//wiki/1870_Hatfield_rail_crash,"{'Date': '26 December 1870', 'Accident title': '1870 Hatfield rail crash', 'Location': 'Hatfield, Hertfordshire', 'Coordinates': '51°44′19″N 0°12′47″W\ufeff / \ufeff51.7387°N 0.2130°W\ufeff / 51.7387; -0.2130Coordinates: 51°44′19″N 0°12′47″W\ufeff / \ufeff51.7387°N 0.2130°W\ufeff / 51.7387; -0.2130', 'Country': 'United Kingdom', 'Line': 'East Coast Main Line', 'Cause': 'Wheel failure', 'Trains': '1', 'Deaths': '8 (including George Blake, aged 69, and Robert Reynolds, aged 12)', 'Injured': '3'}",1870 Hatfield rail crash,26 December 1870,"Hatfield, Hertfordshire", 51.7387; -0.2130,Wheel failure,"8 (including George Blake, aged 69, and Robert Reynolds, aged 12)"
55,1870,/wiki/Newark_rail_crash,https://en.wikipedia.org//wiki/Newark_rail_crash,"{'Date': '21 June 1870', 'Accident title': 'Newark rail crash', 'Location': 'Newark', 'Country': 'England', 'Line': 'East Coast Main Line', 'Cause': 'broken axle', 'Trains': '2', 'Deaths': '18', 'Injured': '40'}",Newark rail crash,21 June 1870,Newark,,broken axle,18
55,1870,/wiki/Stairfoot_rail_accident,https://en.wikipedia.org//wiki/Stairfoot_rail_accident,"{'Date': '12 December 1870', 'Accident title': 'Stairfoot rail accident', 'Location': 'Stairfoot station, near Barnsley', 'Coordinates': '53°32′43″N 1°26′15″W\ufeff / \ufeff53.5452°N 1.4376°W\ufeff / 53.5452; -1.4376Coordinates: 53°32′43″N 1°26′15″W\ufeff / \ufeff53.5452°N 1.4376°W\ufeff / 53.5452; -1.4376', 'Country': 'England', 'Line': 'Manchester, Sheffield and Lincolnshire Railway', 'Cause': 'Failure to secure standing wagons', 'Trains': '2', 'Deaths': '15', 'Injured': '59'}",Stairfoot rail accident,12 December 1870,"Stairfoot station, near Barnsley", 53.5452; -1.4376,Failure to secure standing wagons,15
55,1870,/wiki/Tamworth_rail_crash,https://en.wikipedia.org//wiki/Tamworth_rail_crash,"{'Date': '14 September 1870 4:09 am', 'Accident title': 'Tamworth rail crash', 'Location': 'Tamworth (low level) railway station', 'Country': 'England', 'Line': 'Trent Valley Line', 'Operator': 'London and North Western Railway', 'Cause': 'Signalling error', 'Trains': '1', 'Deaths': '3', 'Injured': '13'}",Tamworth rail crash,14 September 1870 4:09 am,Tamworth (low level) railway station,,Signalling error,3
