year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
1856,Great Train Wreck Of 1856,"17, July, 1856","Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States",40.1287944;-75.2029333,human error,60,40.1287944,-75.2029333,Human Error
1856,Schiedam Train Disaster,"4, May, 1856","Schiedam, Zuid-Holland, Nederland",51.9300454;4.386451052615731,error by the chief conductorand the driver of stoptrein ,24,51.9300454,4.386451052615731,Human Error
1857,Lewisham Rail Crash,"28, June, 1857","Costa, Junction Approach, Ladywell, Lewisham, London, Greater London, England, SE13 7RY, United Kingdom",51.465;-0.0096,signal passed at danger,11,51.465,-0.0096,Signalling Error
1857,Desjardins Canal Disaster,"12, March, 1857","Hamilton, Canada West, British North America","Hamilton, Canada West, British North America",bridge collapse,59,,,Bridge Failure
1858,Round Oak Rail Accident,"23, August, 1858","Dudley, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.483;-2.1276,train divided,14,52.483,-2.1276,Other
1859,South Bend Train Wreck,"27, June, 1859","Between Mishawaka And South Bend, Indiana","Between Mishawaka And South Bend, Indiana",blocked culvert,42,,,Other
1860,Atherstone Rail Accident,"16, November, 1860","Railway Station, Long Street, Atherstone CP, Atherstone, North Warwickshire, Warwickshire, West Midlands, England, CV9 1AX, United Kingdom",52.574;-1.547,signal passed at danger,10,52.574,-1.547,Signalling Error
1861,Clayton Tunnel Rail Crash,"25, August, 1861","Clayton, Mid Sussex, West Sussex, South East England, England, BN6 9PQ, United Kingdom",50.91278;-0.15389,signallers error,23,50.91278,-0.15389,Signalling Error
1861,Kentish Town Rail Accident,"2, September, 1861","Kentish Town Station, Kentish Town Road, Kentish Town, London Borough of Camden, London, Greater London, England, NW5 2TH, United Kingdom",51.5513617;-0.1409954,signalling error,16,51.5513617,-0.1409954,Signalling Error
1862,Winchburgh Rail Crash,"13, October, 1862","Winchburgh, Linlithgowshire",55.97389;-3.49222,points maintenance error,15,55.97389,-3.49222,Technical Error
1863,Chunky Creek Train Wreck,"19, February, 1863","Hickory, Newton County, Mississippi, United States",32.31889;-88.97222,signal passed at danger,75,32.31889,-88.97222,Signalling Error
1864,Shohola Train Wreck,"15, July, 1864","Shohola Township, Pike County, Pennsylvania, 18458, United States",41.419187300000004;-74.89411798482836,dispatcher error,66,41.419187300000004,-74.89411798482836,Other
1864,St-Hilaire Train Disaster,"29, June, 1864","Mont-Saint-Hilaire, La Vallée-du-Richelieu, Montérégie, Québec, Canada",45.5623512;-73.1918864,signal passed at danger,99,45.5623512,-73.1918864,Signalling Error
1865,Rednal Rail Crash,"7, June, 1865","Rednal Station, Shropshire","Rednal Station, Shropshire",derailment due to excessive speed,13,,,Excessive Speed
1865,Staplehurst Rail Crash,"9, June, 1865","Staplehurst, Maidstone, Kent, South East England, England, United Kingdom",51.1636637;0.556213859343256,engineering possession error,10,51.1636637,0.556213859343256,Human Error
1866,Welwyn Tunnel Rail Crash,"9, June, 1866","Welwyn, Welwyn Hatfield, Hertfordshire, East of England, England, United Kingdom",51.836;-0.186,guard failed to protect the train,2,51.836,-0.186,Other
1867,Angola Horror,"18, December, 1867","Angola, New York, U.S.","Angola, New York, U.S.",poor track condition,49,,,Track/Rail Error
1867,Warrington Rail Crash,"29, June, 1867","Warrington Bank Quay, Parker Street, Centre Park, Howley, Warrington, North West England, England, WA1 1LW, United Kingdom",53.3615;-2.6253,points incorrectly set,8,53.3615,-2.6253,Other
1868,Abergele Rail Disaster,"20, August, 1868","Abergele, Conwy, Cymru / Wales, LL22, United Kingdom",53.2840692;-3.5810655,runaway goods wagons,33,53.2840692,-3.5810655,Other
1869,Dalton Junction Rail Crash,"28, December, 1869","Dalton-on-Tees, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, DL2 2PA, United Kingdom",54.462;-1.548,fractured axel,Unknows number of deaths,54.462,-1.548,Other
1870,Hatfield Rail Crash,"26, December, 1870","Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, United Kingdom",51.7387;-0.213,wheel failure,8,51.7387,-0.213,Technical Error
1870,Newark Rail Crash,"21, June, 1870","Newark, Essex County, New Jersey, 07102, United States",40.735657;-74.1723667,broken axle,18,40.735657,-74.1723667,Technical Error
1870,Stairfoot Rail Accident,"12, December, 1870","Barnsley, Yorkshire and the Humber, England, United Kingdom",53.5452;-1.4376,failure to secure standing wagons,15,53.5452,-1.4376,Other
1870,Tamworth Rail Crash,"14, September, 1870","Tamworth Railway Station, Victoria Road, Bolehall, Leyfields, Tamworth, Staffordshire, West Midlands, England, B79 7JT, United Kingdom",52.63735525;-1.6868115161709722,signalling error,3,52.63735525,-1.6868115161709722,Signalling Error
1871,Ballymacarrett Rail Crash Of 1871,"13, May, 1871","Ballymacarrett Road, Short Strand, Ballymacarret, County Down, Northern Ireland, BT4 1GW, United Kingdom",54.601935;-5.901845,derailment caused by intoxicated fireman,2,54.601935,-5.901845,Derailment
1871,Great Revere Train Wreck Of 1871,"26, August, 1871","Revere, Suffolk County, Massachusetts, 02151, United States",42.4084302;-71.0119948,missing info,30,42.4084302,-71.0119948,Cause information missing
1872,Kirtlebridge Rail Crash,"2, October, 1872","Kirtlebridge, Dumfries and Galloway, Scotland, DG11 3LZ, United Kingdom",55.05;-3.212,shunting took place without signalmans authority,12,55.05,-3.212,Signalling Error
1873,Wigan Rail Crash,"3, August, 1873","Wigan North Western, Lift, Wallgate, Wigan, Greater Manchester, North West England, England, WN1 1BJ, United Kingdom",53.5433996;-2.632996,derailment due to excessive speed,13,53.5433996,-2.632996,Excessive Speed
1874,Bo'Ness Junction Rail Crash,"27, January, 1874","Bo'ness Junction, Station Road, Whitecross, Falkirk, Scotland, EH49 6JZ, United Kingdom",55.9778;-3.6585,signallers error,16,55.9778,-3.6585,Signalling Error
1874,Shipton-On-Cherwell Train Crash,"24, December, 1874","Shipton-on-Cherwell, Cherwell, Oxfordshire, South East England, England, OX5 1JN, United Kingdom",51.8473589;-1.3046541,rolling stock failure,34,51.8473589,-1.3046541,Other
1874,Thorpe Rail Accident,"10, September, 1874","Thorpe St Andrew, Broadland, Norfolk, East of England, England, United Kingdom",52.6365023;1.3495006,singleline telegraphic working error,25,52.6365023,1.3495006,Track/Rail Error
1875,Lagerlunda Rail Accident,"15, November, 1875","Kapellån, Between Malmslätt And Bankeberg",58.402;15.483,missing info,9,58.402,15.483,Cause information missing
1876,Abbots Ripton Rail Accident,"21, January, 1876","Abbots Ripton, Cambridgeshire, East of England, England, United Kingdom",52.386101350000004;-0.18861309955964425,wrongside failure ,13,52.386101350000004,-0.18861309955964425,Other
1876,Ashtabula River Railroad Disaster,"29, December, 1876","Ashtabula Mall Boulevard, Edgewood, Ashtabula County, Ohio, United States",41.882206;-80.75524768065316,bridge collapse,92,41.882206,-80.75524768065316,Bridge Failure
1876,Radstock Rail Accident,"7, August, 1876","Foxcote, Mendip, Somerset, South West England, England, BA2 8NG, United Kingdom",51.302;-2.41,singleline telegraphic working error,15,51.302,-2.41,Track/Rail Error
1879,Tay Bridge Disaster,"28, December, 1879","Dundee, Dundee City, Scotland, DD1 1SA, United Kingdom",56.4605938;-2.97019,structural failure,67,56.4605938,-2.97019,Other
1880,Burscough Junction Rail Accident,"15, January, 1880","Burscough, West Lancashire, Lancashire, North West England, England, United Kingdom",53.6100822;-2.859431962416287,human error,9,53.6100822,-2.859431962416287,Human Error
1880,Rimutaka Incline Railway Accident,"11, September, 1880","Rimutaka Incline, Rimutaka Ranges","Rimutaka Incline, Rimutaka Ranges",extreme wind gusts,4,,,Environmental Cause
1880,Wennington Junction Rail Crash,"11, August, 1880","Wennington, Lancaster, Lancashire, North West England, England, United Kingdom",54.123;-2.59,excessive speed over junction,8,54.123,-2.59,Excessive Speed
1881,Morelos Railway Accident,"23, June, 1881","Outside Cuautla, Morelos","Outside Cuautla, Morelos",bridge collapse,200,,,Bridge Failure
1882,Hugstetten Rail Disaster,"3, September, 1882","Hugstetten, March, GVV March-Umkirch, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland",48.0533687;7.781347,washaway,64,48.0533687,7.781347,Other
1882,Inverythan Rail Accident,"27, November, 1882","Aberdeenshire, Scotland, United Kingdom",57.166667;-2.666667,fatigue crack,8,57.166667,-2.666667,Other
1883,Tehachapi Train Wreck,"20, January, 1883","Tehachapi, Kern County, California, United States",35.1321878;-118.4489739,air brakes were released,15,35.1321878,-118.4489739,Brake Failure/Error
1884,Alcudia Bridge Disaster,"27, April, 1884","Bridge Over Alcudia River, Alamillo, Province Of Ciudad Real",38.72028;-4.8425,inconclusive,59,38.72028,-4.8425,Other
1884,Penistone Rail Accidents,"16, July, 1884","Bullhouse Bridge, Ecklands, Penistone, Millhouse Green, Barnsley, Yorkshire and the Humber, England, S36 9NS, United Kingdom",53.5203;-1.6752,axle failure,24,53.5203,-1.6752,Technical Error
1885,Penistone Rail Accidents,"16, July, 1885","Bullhouse Bridge, Ecklands, Penistone, Millhouse Green, Barnsley, Yorkshire and the Humber, England, S36 9NS, United Kingdom",53.5203;-1.6752,axle failure,24,53.5203,-1.6752,Technical Error
1887,Great Chatsworth Train Wreck,"10, August, 1887","Chatsworth Township, Livingston County, Between Chatsworth And Piper City, Illinois, Usa",40.755;-88.25778,bridge collapse,83,40.755,-88.25778,Bridge Failure
1887,Hexthorpe Rail Accident,"16, September, 1887","5, Stewart Street, Town Centre, Doncaster, Yorkshire and the Humber, England, DN1 1RT, United Kingdom",53.52102305;-1.1401342866841537,drivers error,25,53.52102305,-1.1401342866841537,Human Error
1888,Borki Train Disaster,"29, October, 1888","Borki Station, Kharkov Governorate","Borki Station, Kharkov Governorate",inconclusive combination of speeding,21,,,Excessive Speed
1888,Mud Run Disaster,"10, October, 1888","Jim Thorpe, Carbon County, Pennsylvania, 18229, United States",40.8759235;-75.7324127,signal passed at danger,64,40.8759235,-75.7324127,Signalling Error
1888,Wreck At The Fat Nancy,"12, July, 1888","Orange County, Virginia, United States",38.2490349;-78.013983,missing info,9,38.2490349,-78.013983,Cause information missing
1889,Armagh Rail Disaster,"12, June, 1889","Armagh, County Armagh, Northern Ireland, BT61 7DJ, United Kingdom",54.36083;-6.6125,runaway ,80,54.36083,-6.6125,Other
1889,Penistone Rail Accidents,"16, July, 1889","Bullhouse Bridge, Ecklands, Penistone, Millhouse Green, Barnsley, Yorkshire and the Humber, England, S36 9NS, United Kingdom",53.5203;-1.6752,axle failure,24,53.5203,-1.6752,Technical Error
1890,Norton Fitzwarren Rail Crash,"11, November, 1890","Norton Fitzwarren, Wiveliscombe Road, Norton Fitzwarren, Somerset West and Taunton, Somerset, South West England, England, TA2 6SQ, United Kingdom",51.0246094;-3.1570253,signalling error,10,51.0246094,-3.1570253,Signalling Error
1891,Great East Thompson Train Wreck,"4, December, 1891","Thompson, Windham County, Connecticut, United States",41.9587089;-71.8625715,crew error,2,41.9587089,-71.8625715,Other
1891,Norwood Junction Rail Accident,"1, May, 1891","Norwood Junction Railway Station, South Norwood, Surrey","Norwood Junction Railway Station, South Norwood, Surrey",bridge collapse,0,,,Bridge Failure
1892,Thirsk Rail Crash,"2, November, 1892","Thirsk, Hambleton, North Yorkshire, Yorkshire and the Humber, England, United Kingdom",54.2327725;-1.3423775,signalling error ,10,54.2327725,-1.3423775,Signalling Error
1892,Esholt Junction Rail Crash,"9, June, 1892","Esholt Junction, Springs Road, Little London, Tranmere Park, Guiseley, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS20, United Kingdom",53.8655774;-1.7081308,signals obscureddefective signalling procedure,5,53.8655774,-1.7081308,Signalling Error
1893,Llantrisant Rail Accident,"12, August, 1893","Llantrisant, Rhondda Cynon Taf, Cymru / Wales, CF72 8EU, United Kingdom",51.5414953;-3.3745538,locomotive suspension failure,13,51.5414953,-3.3745538,Technical Error
1894,Chelford Rail Accident,"22, December, 1894","Chelford, Cheshire East, North West England, England, United Kingdom",53.2665687;-2.2721804014014753,a highsided wagon was moved by the wind in the path of others,14,53.2665687,-2.2721804014014753,Environmental Cause
1894,Rock Island Railroad Wreck,"9, August, 1894","Wilderness Park, Lincoln, Lancaster County, Nebraska, United States",40.74389;-96.7125,sabotage,11,40.74389,-96.7125,Other
1895,Montparnasse Derailment,"22, October, 1895","Paris Montparnasse, Voie CQ/15, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France",48.8381961;2.3158494,missing info,1,48.8381961,2.3158494,Cause information missing
1896,Atlantic City Rail Crash,"30, July, 1896","Atlantic City, Atlantic County, New Jersey, 08404, United States",39.3642852;-74.4229351,engineer error,50,39.3642852,-74.4229351,Human Error
1897,Welshampton Rail Crash,"11, June, 1897","Welshampton, A495, Welshampton and Lyneal, Bettisfield, Shropshire, West Midlands, England, SY12 0QA, United Kingdom",52.9155;-2.832,excessive speed,12,52.9155,-2.832,Excessive Speed
1898,Wrawby Junction Rail Crash,"17, October, 1898","Wrawby Junction, Marsh Lane, Barnetby le Wold, North Lincolnshire, Yorkshire and the Humber, England, DN38 6DJ, United Kingdom",53.5701;-0.4197,goods train derailment,8,53.5701,-0.4197,Derailment
1898,Potters Bar Rail Accidents,"10, May, 1898","Potters Bar, Hertsmere, Hertfordshire, East of England, England, EN6 2BD, United Kingdom",51.697;-0.194,derailment due to movement of points,7,51.697,-0.194,Derailment
1899,Rakaia Railway Accident,"11, March, 1899","Rakaia, South Island","Rakaia, South Island",excessive speed  inadequate brakes and signals,4,,,Excessive Speed
1900,Camp Creek Train Wreck,"23, June, 1900","Just Outside Mcdonough, Georgia","Just Outside Mcdonough, Georgia",washout of trestle bridge due to heavy rain,35,,,Bridge Failure
1900,Slough Rail Accident,"16, June, 1900","Slough Railway Station, Brunel Way, Myrke, Slough, South East England, England, SL1 1XN, United Kingdom",51.5117044;-0.5924427,signal passed at danger,5,51.5117044,-0.5924427,Signalling Error
1900,Twello Train Accident,"22, December, 1900","Twello, Koningin Julianastraat, Twello, Voorst, Gelderland, Nederland, 7391DW, Nederland",52.23806;6.1,wrong set railroad switch,2,52.23806,6.1,Track/Rail Error
1903,Connellsville Train Wreck,"23, December, 1903","Connellsville, Fayette County, Pennsylvania, United States",40.0178522;-79.5894828,debris on track,64,40.0178522,-79.5894828,Track/Rail Error
1903,East Paris Train Wreck,"26, December, 1903","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",46.3144754;11.0480288,signal failure,21,46.3144754,11.0480288,Signalling Error
1903,Esmond Train Wreck,"28, January, 1903","Tucson, Pima County, Arizona, United States",32.10306;-110.77444,failure to relay orders,14,32.10306,-110.77444,Other
1903,Glasgow St Enoch Rail Accident,"27, July, 1903","St Enoch, St Enoch Square, Gorbals, Glasgow, Glasgow City, Scotland, G1 4DH, United Kingdom",55.8575955;-4.2551723,drivers error incomplete route knowledge,16,55.8575955,-4.2551723,Human Error
1903,Little Falls Gulf Curve Crash Of 1903,"23, August, 1903","Little Falls, City of Little Falls, Herkimer County, New York, 13365, United States",43.0434039;-74.8595958,excessive speed on sharp curve,2,43.0434039,-74.8595958,Excessive Speed
1903,Wreck Of The Old 1903,"27, September, 1903","Stillhouse Trestle, Danville, Virginia, U.S.","Stillhouse Trestle, Danville, Virginia, U.S.",excessive speed,11,,,Excessive Speed
1904,New Market Train Wreck,"24, September, 1904","New Market, Jefferson County, Tennessee, 37820, United States",36.1039767;-83.5526751,engineer error,56,36.1039767,-83.5526751,Human Error
1905,Th Century Limited Derailment,"21, June, 1905","Mentor, Lake County, Ohio, 44060, United States",41.6664781;-81.3399769,unknown,21,41.6664781,-81.3399769,Other
1905,Hall Road Rail Accident,"27, July, 1905","Hall Road, Hall Road West, Blundellsands, Little Crosby, Sefton, North West England, England, L23 8SX, United Kingdom",53.4975;-3.0497,rearend collision due to points failure,20,53.4975,-3.0497,Other
1905,Witham Rail Crash,"1, September, 1905","Witham Railway Station, Braintree Road, Witham, Braintree, Essex, East of England, England, CM8 2DD, United Kingdom",51.8058882;0.6384797,points maintenance error,11,51.8058882,0.6384797,Technical Error
1906,Salisbury Rail Crash,"1, July, 1906","Salisbury, Churchfields Road, Bemerton, Salisbury, Wiltshire, South West England, England, SP2 7NH, United Kingdom",51.0708;-1.8042,overspeed on curve,28,51.0708,-1.8042,Excessive Speed
1906,Atlantic City Train Wreck,"28, October, 1906","Atlantic City, Atlantic County, New Jersey, 08404, United States",39.3642852;-74.4229351,draw  bridge locking failure,53,39.3642852,-74.4229351,Bridge Failure
1906,Elliot Junction Rail Accident,"28, December, 1906","Elliot Junction Station, Forfarshire","Elliot Junction Station, Forfarshire",driver error ,22,,,Human Error
1906,Grantham Rail Accident,"19, September, 1906","Grantham, Station Road, South Kesteven, Lincolnshire, East Midlands, England, NG31 6BT, United Kingdom",52.9097;-0.6467,drivers error,14,52.9097,-0.6467,Human Error
1906,"Washington, D.C., Train Wreck","30, December, 1906","C, Newton Street Northeast, Brookland, Washington, District of Columbia, 20018, United States",38.9331298;-76.9941039,signal passed at danger,53,38.9331298,-76.9941039,Signalling Error
1907,Birmingham Tramway Accident,"1, October, 1907","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.4866;-1.9181,brake failure,2,52.4866,-1.9181,Brake Failure/Error
1907,Blossvale Crash Of 1907,"14, April, 1907","Town of Annsville, Oneida County, New York, 13471, United States",43.356487;-75.62442617374037,roadbed failure,1,43.356487,-75.62442617374037,Other
1907,Newport Rail Accident,"28, September, 1907","Newport, Cymru / Wales, United Kingdom",51.5882332;-2.9974967,signallers error,1,51.5882332,-2.9974967,Signalling Error
1907,Shrewsbury Rail Accident,"15, October, 1907","Shrewsbury, Shropshire, West Midlands, England, United Kingdom",52.707755;-2.7540658,drivers error,18,52.707755,-2.7540658,Human Error
1908,Bournemouth Tramway Accident,"1, May, 1908","Bournemouth, Bournemouth, Christchurch and Poole, South West England, England, BH1 2BY, United Kingdom",50.721266;-1.883169,brake failure,7,50.721266,-1.883169,Brake Failure/Error
1908,Sunshine Rail Disaster,"20, April, 1908","Sunshine, Hampshire Road, Sunshine, Melbourne, City of Brimbank, Victoria, 3020, Australia",-37.7881;144.8325,signal passed at danger due to brake failure on bendigo train,44,-37.7881,144.8325,Signalling Error
1910,Braunton Road Rail Accident,"1, January, 1910","Braunton Road, Pottington, Barnstaple, North Devon, Devon, South West England, England, EX31 1GD, United Kingdom",51.089;-4.083,missing info,1,51.089,-4.083,Cause information missing
1910,Green Mountain Train Wreck,"21, March, 1910","Spring Creek Township, Tama County, Iowa,, Between Green Mountain And Gladbrook",42.16472;-92.76667,undetermined,52,42.16472,-92.76667,Cause information missing
1910,Hawes Junction Rail Crash,"24, December, 1910","Aisgill Summit, Westmorland",54.3395;-2.3258,signalling error,12,54.3395,-2.3258,Signalling Error
1910,Rogers Pass Avalanche,"4, March, 1910","Rogers Pass, Area A (Kicking Horse/Kinbasket Lake), Columbia-Shuswap Regional District, British Columbia, Canada",51.28333;-117.51194,missing info,62,51.28333,-117.51194,Cause information missing
1910,Spanish River Derailment,"21, January, 1910","Nairn, North Middlesex, Middlesex County, Southwestern Ontario, Ontario, N0M 1A0, Canada",46.30106;-81.67491,missing info,56,46.30106,-81.67491,Cause information missing
1911,Blaauwkrantz Bridge Disaster,"22, April, 1911",Blaauwkrantz Pass,Blaauwkrantz Pass,missing info,28,,,Cause information missing
1911,Indianola Train Wreck,"29, May, 1911","McCook, Red Willow County, Nebraska, 69001, United States",40.2006859;-100.6257666,missing order to stop,18,40.2006859,-100.6257666,Other
1911,Pontypridd Railway Accident,"23, January, 1911","Pontypridd Railway Station, High Street, Y Graig, Pontypridd, Rhondda Cynon Taf, Cymru / Wales, CF37 1QP, United Kingdom",51.605;-3.35,signalling error,11,51.605,-3.35,Signalling Error
1912,Corning Train Wreck,"4, July, 1912","Corning, Steuben County, New York, United States",42.12361;-77.01889,signal passed at danger,39,42.12361,-77.01889,Signalling Error
1912,Ditton Junction Rail Crash,"17, September, 1912","Ditton Junction, Newtown, Widnes, Halton, North West England, England, WA8 7AW, United Kingdom",53.35634;-2.76918,driver misread signals,15,53.35634,-2.76918,Signalling Error
1913,Ais Gill Rail Accident,"2, September, 1913","Aisgill, Mallerstang, Eden, Cumbria, North West England, England, CA17 4JY, United Kingdom",54.36847;-2.34935,drivers error,16,54.36847,-2.34935,Human Error
1913,Bramminge Train Accident,"26, July, 1913","Bramming, Esbjerg Kommune, 6740, Danmark",55.46361;8.68556,heatstressed rails,15,55.46361,8.68556,Track/Rail Error
1913,Chumhill Rail Accident,"26, February, 1913","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",51.1133;-3.9737,wet leaves on the line,2,51.1133,-3.9737,Track/Rail Error
1913,Guyandotte River Train Wreck,"1, January, 1913","West Virginia, United States",38.4758406;-80.8408415,bridge collapse,7,38.4758406,-80.8408415,Bridge Failure
1914,Exeter Crossing Loop Collision,"13, March, 1914","Exeter, Wingecarribee Shire Council, New South Wales, 2579, Australia",-34.6138;150.3173,missing info,14,-34.6138,150.3173,Cause information missing
1915,Ilford Rail Crash,"1, January, 1915","Ilford, London, Greater London, England, IG1 1DL, United Kingdom",51.5588;0.0685,signal passed at danger,10,51.5588,0.0685,Signalling Error
1915,Guadalajara Train Disaster,"22, January, 1915","Guadalajara, Jalisco, México",20.6720375;-103.338396,brake failure,600,20.6720375,-103.338396,Brake Failure/Error
1915,Quintinshill Rail Disaster,"22, May, 1915","Quintinshill, Dumfriesshire",55.0146;-3.0649,signalling error,226,55.0146,-3.0649,Signalling Error
1915,St Bedes Junction Rail Crash,"17, December, 1915","Jarrow, South Tyneside, Tyne and Wear, North East England, England, NE32 3JU, United Kingdom",54.9773;-1.4824,signalmans error,19,54.9773,-1.4824,Signalling Error
1915,Weedon Rail Crashes,"14, August, 1915","Weedon, High Street, Dodford, Weedon Bec, West Northamptonshire, East Midlands, England, NN7 4PQ, United Kingdom",52.22212;-1.06387,detached coupling rod,10,52.22212,-1.06387,Technical Error
1915,Weedon Rail Crashes,"14, August, 1915","Weedon, High Street, Dodford, Weedon Bec, West Northamptonshire, East Midlands, England, NN7 4PQ, United Kingdom",52.22212;-1.06387,detached coupling rod,10,52.22212,-1.06387,Technical Error
1916,Herceghalom Rail Crash,"1, December, 1916","Herceghalom, 8101, Herceghalom, Budakeszi járás, Pest megye, Közép-Magyarország, 2053, Magyarország",47.49373;18.743327,signal passed at danger,69,47.49373,18.743327,Signalling Error
1917,Bere Ferrers Rail Accident,"24, September, 1917","Bere Ferrers, Drummond Way, Bere Ferrers, West Devon, Devon, South West England, England, PL20 7LT, United Kingdom",50.45109;-4.18141,passengers misunderstanding of operating rules,10,50.45109,-4.18141,Other
1917,Ciurea Rail Disaster,"14, January, 1917","Ciurea, Strada Gării, Ciurea, Zona Metropolitană Iași, Iași, 707085, România",46.88806;27.18667,brake failure,900,46.88806,27.18667,Brake Failure/Error
1917,Houten Train Accident,"7, June, 1917","Houten, Utrecht, Nederland",52.00778;5.18583,due to heat the rails was expanded,Unknows number of deaths,52.00778,5.18583,Track/Rail Error
1917,Saint-Michel-De-Maurienne Derailment,"12, December, 1917","Saint-Michel-de-Maurienne, Saint-Jean-de-Maurienne, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73140, France",45.23996115;6.495543756453546,very steep slope of the railway line,675,45.23996115,6.495543756453546,Track/Rail Error
1917,Shepherdsville Train Wreck,"20, December, 1917","Shepherdsville, Bullitt County, Kentucky, United States",37.98694;-85.71472,failure to protect train,49,37.98694,-85.71472,Other
1918,Getå Railroad Disaster,"1, October, 1918","Geta, Ålands landsbygd, Åland, 22340, Suomi / Finland",60.3748704;19.8479582,landslide,42,60.3748704,19.8479582,Environmental Cause
1918,Great Train Wreck Of 1918,"9, July, 1918","Nashville-Davidson, Davidson County, Tennessee, United States",36.12944;-86.84806,human error,101,36.12944,-86.84806,Human Error
1918,Hammond Circus Train Wreck,"22, June, 1918","Hammond, Lake County, Indiana, United States",41.5833658;-87.500043,engineer falling asleep,86,41.5833658,-87.500043,Human Error
1918,Little Salkeld Rail Accident,"19, January, 1918","Little Salkeld, Eden, Cumbria, North West England, England, CA10 1NL, United Kingdom",54.724;-2.6798,line obstructed ,7,54.724,-2.6798,Track/Rail Error
1918,Malbone Street Wreck,"1, November, 1918","Flatbush, Brooklyn, Kings County, New York, 11226, United States",40.6520481;-73.959027,excessive speed around curve,97,40.6520481,-73.959027,Excessive Speed
1918,Weesp Train Disaster,"13, September, 1918","Weesp, Noord-Holland, Nederland",52.30444305;5.0585343520066335,embankment collapse,41,52.30444305,5.0585343520066335,Other
1919,Onawa Train Wreck,"20, December, 1919","Onawa, Elliottsville Township, Piscataquis County, Maine, United States",45.37056;-69.40972,misreading of train orders,23,45.37056,-69.40972,Other
